id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,min_nights_ratio,availability_rate,price_category
10,  Spacious 2BR  ,75847,Maria,Brooklyn,Greenpoint,40.59158,-73.73783,Private Room,735.75,5.0,36.0,2019-09-04,4.86,19.0,276,0.0136986301369863,0.7561643835616438,Luxury
286,Cozy apartment near park,84558,Chris,Staten Island,St. George,40.50063,-74.09041,Private Room,178.0,1.0,377.0,2014-10-14,0.46,7.0,179,0.0027397260273972603,0.4904109589041096,High
675,Cozy apartment near park,20892,Daniel,Queens,Elmhurst,40.88867,-74.02696,Entire Home/Apt,72.0,73.5,99.0,2013-08-11,1.99,19.0,181,0.20136986301369864,0.4958904109589041,Budget
100,Cozy apartment near park,90224,Anna,Bronx,Fordham,40.81046,-73.86895,Private Room,365.0,1.0,298.0,,7.21,8.0,194,0.0027397260273972603,0.5315068493150685,Luxury
668,Unknown,35757,John,Queens,Ridgewood,40.87452,-73.71388,Entire Home/Apt,244.0,1.0,186.0,2012-03-01,2.05,20.0,206,0.0027397260273972603,0.5643835616438356,High
644,  Spacious 2BR  ,91926,Unknown,Brooklyn,Williamsburg,40.81665,-73.8112,Private Room,452.0,5.0,211.0,2016-03-08,0.0,3.0,49,0.0136986301369863,0.13424657534246576,Luxury
172,Sunny room in the heart of NYC,42774,Sarah,Staten Island,Tompkinsville,40.64049,-73.94986,Private Room,282.0,30.0,295.0,,7.99,9.0,17,0.0821917808219178,0.04657534246575343,High
633,Modern studio,91290,Robert,Brooklyn,Kensington,40.74623,-73.88434,Private Room,163.0,2.0,355.0,2011-06-19,2.16,6.0,223,0.005479452054794521,0.6109589041095891,High
573,Quiet private room,27680,James,Queens,Ridgewood,40.60701,-73.82089,Shared Room,155.0,73.5,53.0,,9.51,5.0,248,0.20136986301369864,0.6794520547945205,High
307,  Spacious 2BR  ,90589,James,Staten Island,Stapleton,40.52173,-73.99424,Private Room,405.0,1.0,26.0,2013-08-13,3.02,13.0,272,0.0027397260273972603,0.7452054794520548,Luxury
911,Beautiful loft,51070,Maria,Bronx,Concourse,40.75921,-74.02053,Private Room,282.0,73.5,224.0,,5.57,4.0,149,0.20136986301369864,0.40821917808219177,High
473,Quiet private room,69506,Sofia,Bronx,Riverdale,40.62024,-73.72151,Private Room,366.0,73.5,400.0,2015-11-18,1.41,12.0,251,0.20136986301369864,0.6876712328767123,Luxury
452,Quiet private room,56579,Emma,Brooklyn,Bedford-Stuyvesant,40.6021,-73.73477,Private Room,420.0,5.0,260.0,2018-11-23,6.97,8.0,333,0.0136986301369863,0.9123287671232877,Luxury
95,Quiet private room,76718,Daniel,Manhattan,Upper West Side,40.60699,-74.00083,Private Room,153.0,1.0,25.0,,4.19,11.0,81,0.0027397260273972603,0.2219178082191781,High
891,Quiet private room,43844,David,Staten Island,Stapleton,40.52795,-74.07782,Entire Home/Apt,735.75,2.0,341.0,,1.13,5.0,251,0.005479452054794521,0.6876712328767123,Luxury
409,Sunny room in the heart of NYC,22157,James,Staten Island,Tompkinsville,40.86872,-73.99068,Entire Home/Apt,30.0,3.0,348.0,,2.14,18.0,261,0.00821917808219178,0.7150684931506849,Budget
485,Unknown,90356,Daniel,Manhattan,Midtown,40.79757,-73.7396,Shared Room,0.0,1.0,341.0,2014-08-22,1.2,5.0,250,0.0027397260273972603,0.684931506849315,
578,Unknown,80996,Sarah,Queens,Flushing,40.50355,-74.0852,Private Room,266.0,5.0,245.0,,5.8,18.0,40,0.0136986301369863,0.1095890410958904,High
769,Quiet private room,91010,John,Staten Island,Tompkinsville,40.82052,-74.0782,Entire Home/Apt,92.0,1.0,142.0,2012-09-18,1.28,14.0,49,0.0027397260273972603,0.13424657534246576,Mid-range
680,  Spacious 2BR  ,48520,Olivia,Staten Island,St. George,40.7839,-73.7538,Entire Home/Apt,329.0,30.0,388.0,,0.89,8.0,308,0.0821917808219178,0.8438356164383561,Luxury
453,Quiet private room,77829,Unknown,Brooklyn,Kensington,40.68219,-73.82757,Entire Home/Apt,257.0,3.0,126.0,2013-04-01,6.45,3.0,196,0.00821917808219178,0.536986301369863,High
519,Unknown,91819,Olivia,Manhattan,Midtown,40.80127,-74.03419,Private Room,-214.25,5.0,214.0,,7.84,19.0,356,0.0136986301369863,0.9753424657534246,
626,Sunny room in the heart of NYC,99524,Chris,Staten Island,St. George,40.51076,-73.74576,Shared Room,409.0,1.0,393.0,2014-06-12,5.02,13.0,0,0.0027397260273972603,0.0,Luxury
636,Beautiful loft,4875,Anna,Staten Island,Stapleton,40.72453,-73.96188,Private Room,70.0,2.0,382.0,2019-06-10,7.51,5.0,231,0.005479452054794521,0.6328767123287671,Budget
479,Sunny room in the heart of NYC,96676,David,Staten Island,Tompkinsville,40.88105,-73.89176,Shared Room,287.0,2.0,156.0,2012-05-14,8.45,8.0,324,0.005479452054794521,0.8876712328767123,High
474,Beautiful loft,35167,Michael,Brooklyn,Williamsburg,40.58609,-74.04632,Entire Home/Apt,183.0,73.5,110.0,2016-05-05,6.23,13.0,38,0.20136986301369864,0.10410958904109589,High
